Case Selection Reason,Player,Team,Date,Body Group,Age Group,Height Group,Injury Description (Raw),Same-Body Major Reinjury,Same Body-Part Major Reinjury Date,Confirmed Return Date,Recovery Return Anchor Method,Recovery Games Available,Recovery Games Played,Three-Year Games Played Pct,Pre 3-Season Total VORP,Post 3-Season Total VORP,Age-Adjusted VORP Change,Reinjury Window Check,Recovery Logic Check,VORP Logic Check,Overall Automated Audit
Body-part non-recurrence coverage,Anthony Carter,Denver Nuggets,2007-10-29,Hand,31–33,"≤74 in (≤6'2"")",placed on IL recovering from surgery on broken right hand,0,,,source unavailable,,,,-0.1,0.5,0.730566317201442,True,True,True,PASS
Body-part non-recurrence coverage,Bob Sura,Houston Rockets,2004-11-01,Back,31–33,"77–79 in (6'5""–6'7"")",placed on IL recovering from back surgery,0,,,source unavailable,,,,3.3,0.0,-2.9579902686377344,True,True,True,PASS
Body-part non-recurrence coverage,Brandan Wright,Golden State Warriors,2009-10-28,Shoulder,22–24,"80–82 in (6'8""–6'10"")",placed on IL with surgery on left shoulder (out for season),0,,,source unavailable,,,,0.6000000000000001,2.5,0.6756894197059062,True,True,True,PASS
Body-part non-recurrence coverage,Brendan Haywood,Washington Wizards,2008-10-29,Wrist,28–30,"≥83 in (≥6'11"")",placed on IL recovering from surgery on right wrist to repair torn ligament,0,,,source unavailable,,,,1.3,1.0,-0.0026605576383613716,True,True,True,PASS
Body-part non-recurrence coverage,Darington Hobson,Milwaukee Bucks,2010-10-12,Hip,22–24,"77–79 in (6'5""–6'7"")",surgery on left hip (out for season),0,,,source unavailable,,,,0.0,-0.1,-1.154327215730436,True,True,True,PASS
Body-part non-recurrence coverage,Michael Stewart,Toronto Raptors,2002-03-17,Other,25–27,"80–82 in (6'8""–6'10"")",placed on IL with surgery to repair hernia,0,,,source unavailable,,,,-0.9999999999999999,-0.5,-0.3181847567695746,True,True,True,PASS
Body-part non-recurrence coverage,Steve Blake,Washington Wizards,2004-11-01,Ankle,22–24,"75–76 in (6'3""–6'4"")",placed on IL recovering from right ankle surgery,0,,,source unavailable,,,,-0.2,1.3,0.4719620601450689,True,True,True,PASS
Body-part non-recurrence coverage,Vernon Maxwell,Seattle SuperSonics,2000-01-07,Knee,34–36,"75–76 in (6'3""–6'4"")",placed on IL with right knee surgery,0,,,source unavailable,,,,-0.6,-0.2,0.4501192252602868,True,True,True,PASS
Body-part non-recurrence coverage,Yao Ming,Houston Rockets,2005-12-21,Foot,25–27,"≥83 in (≥6'11"")",placed on IL with toe surgery,0,,,source unavailable,,,,8.5,8.899999999999999,-0.6505588970529876,True,True,True,PASS
Body-part recurrence coverage,Al Horford,Atlanta Hawks,2012-01-12,Other,25–27,"80–82 in (6'8""–6'10"")",placed on IL with torn left pectoral muscle | surgery to repair torn left pectoral muscle (out for season),1,2013-12-27,2012-11-02,existing game-log return date,246.0,179.0,0.7276422764227642,9.700000000000001,7.5,-3.2505588970529864,True,True,True,PASS
Body-part recurrence coverage,DeAndre' Bembry,Atlanta Hawks,2017-11-13,Wrist,22–24,"77–79 in (6'5""–6'7"")",placed on IL recovering from surgery on right wrist to repair fracture,1,2018-04-12,2017-11-18,reported missed-game gap,216.0,150.0,0.6944444444444444,-0.1,-0.30000000000000004,-1.2543272157304364,True,True,True,PASS
Body-part recurrence coverage,Greg Oden,Portland Trail Blazers,2009-12-17,Knee,19–21,"≥83 in (≥6'11"")",placed on IL recovering from surgery on left knee to repair fractured kneecap (out for season) | placed on IL with left knee injury (out for season) | mircofracture surgery on left knee (out for season),1,2011-12-25,,source unavailable,,,,0.3,0.0,-1.4175904838423699,True,True,True,PASS
Body-part recurrence coverage,Rajon Rondo,Boston Celtics,2014-09-26,Hand,28–30,"≤74 in (≤6'2"")",surgery on fractured left finger (out indefinitely) | placed on IL with left hand injury,1,2017-04-21,2014-10-29,first confirmed appearance,246.0,209.0,0.8495934959349594,8.5,3.2,-5.7941907864782,True,True,True,PASS
Body-part recurrence coverage,Rodrigue Beaubois,Dallas Mavericks,2010-08-13,Foot,22–24,"≤74 in (≤6'2"")",surgery on left foot to repair broken fifth metatarsal (out indefinitely),1,2010-10-27,,source unavailable,,,,0.0,0.8,-0.15589339121221452,True,True,True,PASS
Body-part recurrence coverage,Stephen Curry,Golden State Warriors,2011-05-25,Ankle,22–24,"≤74 in (≤6'2"")",surgery on right ankle (out indefinitely),1,2012-03-21,2011-12-25,existing game-log return date,246.0,198.0,0.8048780487804879,2.0,13.5,10.695494113236862,True,True,True,PASS
Body-part recurrence coverage,Wilson Chandler,Denver Nuggets,2012-11-03,Hip,25–27,"80–82 in (6'8""–6'10"")",recovering from surgery on left hip to repair torn labrum (out indefinitely) | placed on IL recovering from surgery on left hip to repair torn labrum | hip injury (DTD),1,2015-10-28,2013-01-13,reported missed-game gap,246.0,179.0,0.7276422764227642,1.0,1.5,-0.5505588970529878,True,True,True,PASS
High post-return availability,Joe Ingles,Utah Jazz,2015-12-16,Other,28–30,"80–82 in (6'8""–6'10"")",oral surgery (DTD),0,,2015-12-18,first confirmed appearance,246.0,246.0,1.0,0.3,6.8,6.474678955384276,True,True,True,PASS
